iter	F1	Logloss
0	0.9092220363	0.5466628255
1	0.9368454018	0.4441286768
2	0.9447191419	0.3596038079
3	0.9477357642	0.3020960567
4	0.9514858134	0.2561344608
5	0.9535676356	0.2268217159
6	0.955486628	0.2051732748
7	0.9605368845	0.1872279331
8	0.9641087531	0.1744124805
9	0.9643116696	0.1614875123
10	0.9646431185	0.1535639135
11	0.9657168439	0.1479959325
12	0.9679320678	0.1412984581
13	0.968282408	0.1341639793
14	0.9682648678	0.1276585069
15	0.9694687497	0.1235175184
16	0.9701447975	0.1201089317
17	0.9712208665	0.1161682959
18	0.9724981484	0.1144390233
19	0.9734411957	0.1107243598
20	0.9743261597	0.1094744555
21	0.9743479618	0.1054681364
22	0.9755144436	0.1016426499
23	0.9760853657	0.09942512272
24	0.977168317	0.09698077037
25	0.9780772229	0.09542321
26	0.9785126471	0.09286690897
27	0.9791605548	0.0913460014
28	0.9792447147	0.09043106815
29	0.9796657315	0.08957274749
30	0.9800881551	0.08844173725
31	0.9804952556	0.08750956112
32	0.9809312897	0.08576077212
33	0.9814237329	0.0848503564
34	0.9814659463	0.0840454386
35	0.9818320908	0.0827663054
36	0.9828323813	0.08085491251
37	0.9829170305	0.07999937079
38	0.9830016943	0.07858260505
39	0.9830863726	0.07746754918
40	0.9830999868	0.07660574702
41	0.9835504818	0.07604727144
42	0.9837198992	0.07477379068
43	0.9837622627	0.07415691349
44	0.9842285018	0.07281418242
45	0.9839607501	0.07142501406
46	0.9841436982	0.07026175293
47	0.9844405749	0.06970940019
48	0.9848649952	0.0692566143
49	0.9848649952	0.06880974243
50	0.9850773426	0.0676828282
51	0.9856003176	0.06720142215
52	0.9855873502	0.06641869801
53	0.9856298747	0.06600790933
54	0.9857574702	0.06555041614
55	0.9858850986	0.06508583072
56	0.9859702027	0.06467228262
57	0.9861404548	0.06424237331
58	0.9859702027	0.06348493884
59	0.9863533526	0.06276819554
60	0.9865237371	0.06198804022
61	0.9869073175	0.06132264275
62	0.9869073175	0.06093665632
63	0.9873037287	0.06046332954
64	0.987431722	0.05977477914
65	0.9877856052	0.05943317022
66	0.9880418029	0.05899133685
67	0.9883104013	0.05840083173
68	0.9883653753	0.05803463433
69	0.9887072108	0.05775664483
70	0.9889637425	0.05688581924
71	0.9888782172	0.05648829554
72	0.9894463665	0.05611415168
73	0.9894463665	0.05581925259
74	0.9897032099	0.05542052649
75	0.989788854	0.05492927444
76	0.9900030291	0.05455581536
77	0.9900458753	0.05400391603
78	0.990217297	0.05356191627
79	0.9905603185	0.05289606926
80	0.9908177406	0.05250506488
81	0.9908177406	0.05189073788
82	0.9909894297	0.05127745575
83	0.9910323613	0.0505255402
84	0.9910323613	0.05019165767
85	0.9912041247	0.04969013807
86	0.9914618816	0.0493664952
87	0.9913329864	0.04905119219
88	0.9916767815	0.04867662049
89	0.9918917745	0.04833647637
90	0.9921068608	0.04783494515
91	0.9920208151	0.0476135896
92	0.9922789969	0.04733727819
93	0.9926665218	0.04702196475
94	0.9926665218	0.04646782273
95	0.9927095988	0.04628948681
96	0.9927957641	0.04601094696
97	0.9929681394	0.04582450671
98	0.9931405746	0.04520981212
99	0.9933993398	0.04494603753
100	0.9933130697	0.04439401803
101	0.9935719248	0.04404000939
102	0.9937014029	0.04375027825
103	0.9937014029	0.04326348103
104	0.9937014029	0.04305838245
105	0.9937014029	0.04248860121
106	0.9939604604	0.04205877113
107	0.9940036498	0.04159534043
108	0.9943060806	0.04116061933
109	0.9943925232	0.04049558038
110	0.9944789809	0.03998685779
111	0.9945222153	0.03961436114
112	0.9945222153	0.03914961812
113	0.9946519413	0.03860526289
114	0.9949114947	0.03826057368
115	0.9948682264	0.03791386099
116	0.9950413222	0.03773820991
117	0.9950413222	0.03729897911
118	0.9952144783	0.0370504979
119	0.9952577767	0.03668467346
120	0.9953876946	0.03637781901
121	0.9955609713	0.03610620476
122	0.9955176464	0.03570357346
123	0.9955609713	0.03550181853
124	0.9956909683	0.0352908646
125	0.9956476322	0.03513341763
126	0.9958209994	0.03490119475
127	0.9956909683	0.03451149178
128	0.9956476322	0.03414836456
129	0.9959077056	0.03390508082
130	0.9958643506	0.03366129818
131	0.9959944269	0.03327808332
132	0.9960811634	0.03299654695
133	0.9960811634	0.03271522974
134	0.9962546816	0.03251132652
135	0.9963414633	0.03217968522
136	0.9965150722	0.03192360605
137	0.9964716643	0.0317572267
138	0.9965584839	0.03144159494
139	0.9966453186	0.03121532281
140	0.9966453186	0.03084783071
141	0.9966887416	0.03073153562
142	0.996775599	0.03049978663
143	0.996775599	0.03035300205
144	0.9969059135	0.03009515971
145	0.9970362621	0.02985708745
146	0.9969059135	0.0296262543
147	0.9969928088	0.02951481845
148	0.9970797192	0.02937016803
149	0.9970797192	0.02917021236
150	0.9970797192	0.02900652895
151	0.9971231801	0.0288211295
152	0.9972970616	0.028620786
153	0.997384025	0.02847428819
154	0.9972970616	0.02826813333
155	0.9974275125	0.02803637485
156	0.997384025	0.02781631582
157	0.9974710037	0.02768664067
158	0.9975579975	0.0275542175
159	0.9977320306	0.02740412402
160	0.9977320306	0.02721700388
161	0.9976885167	0.02702878865
162	0.9977320306	0.02684439226
163	0.9977320306	0.02661276926
164	0.9977755484	0.0265056494
165	0.9977755484	0.02634921238
166	0.99781907	0.02618638344
167	0.99781907	0.02595180639
168	0.9979061245	0.02579863653
169	0.9979061245	0.02560882707
170	0.9979496575	0.02546868824
171	0.9979931943	0.02539733219
172	0.9980367348	0.02527939089
173	0.9980802792	0.02518336696
174	0.9979931943	0.02503780193
175	0.9980367348	0.02492662518
176	0.9980802792	0.02479202531
177	0.9980802792	0.02468056432
178	0.9981238273	0.02454473402
179	0.9981238273	0.02441929275
180	0.9981238273	0.02425267274
181	0.9982109351	0.02411479613
182	0.9982544946	0.02392153103
